zip_code,boro,area_sq_m,population,total_restaurants,grade_a_count,pct_grade_a,avg_inspection_score
10474,Bronx,3973116,12013,31,24,77.4,13.19
10065,Manhattan,1085419,32891,168,125,74.4,13.17
10036,Manhattan,1158340,33868,603,447,74.1,13.13
10309,Staten Island,18787995,33523,81,58,71.6,13.09
10019,Manhattan,1706504,49029,625,471,75.4,13.09
10021,Manhattan,923484,45691,166,126,75.9,13.04
11413,Queens,7812635,42978,45,36,80.0,13.02
10279,Manhattan,10805,236,1,1,100.0,13.00
10010,Manhattan,955081,33991,241,178,73.9,12.98
11357,Queens,7341415,42319,67,58,86.6,12.97
10456,Bronx,2787861,93412,71,51,71.8,12.94
10011,Manhattan,1677161,53318,450,332,73.8,12.88
11361,Queens,4437987,29116,149,112,75.2,12.87
10022,Manhattan,1148424,36708,439,344,78.4,12.84
10023,Manhattan,2510429,71164,214,167,78.0,12.83
11221,Brooklyn,3576561,89222,154,118,76.6,12.81
10452,Bronx,2543928,77564,106,77,72.6,12.63
10458,Bronx,3162261,81299,212,149,70.3,12.60
10027,Manhattan,2440914,64037,160,118,73.8,12.57
11417,Queens,2883937,31229,67,50,74.6,12.51
10017,Manhattan,771547,17401,325,253,77.8,12.50
11218,Brooklyn,3527412,78642,137,99,72.3,12.49
10035,Manhattan,3638045,35980,87,68,78.2,12.47
10305,Staten Island,10411102,44008,91,58,63.7,12.46
11209,Brooklyn,5473452,73239,263,204,77.6,12.46
11231,Brooklyn,3690567,37240,168,129,76.8,12.45
10038,Manhattan,747572,25332,182,135,74.2,12.41
10463,Bronx,7129840,71301,124,95,76.6,12.34
10001,Manhattan,1615692,32612,621,484,77.9,12.32
11236,Brooklyn,9231367,100687,114,90,78.9,12.23
10465,Bronx,10153865,45799,85,69,81.2,12.22
10462,Bronx,3878508,84655,154,122,79.2,12.18
11414,Queens,5979139,27320,58,49,84.5,12.16
11238,Brooklyn,4789042,60090,251,188,74.9,12.16
11422,Queens,5436200,32839,39,29,74.4,12.13
10119,Manhattan,65943,154,26,20,76.9,12.04
10004,Manhattan,1179938,4287,130,101,77.7,12.02
10464,Bronx,7908514,4592,36,28,77.8,12.00
10152,Manhattan,12423,48,1,0,0.0,12.00
10309,0,18787995,33523,1,1,100.0,12.00
11363,Queens,2239195,7208,11,9,81.8,11.91
11215,Brooklyn,5668437,67493,359,283,78.8,11.91
11207,Brooklyn,7044635,100330,138,116,84.1,11.83
11370,Queens,3997507,34683,20,17,85.0,11.80
10005,Manhattan,188727,10639,60,42,70.0,11.78
10044,Manhattan,595879,11722,13,10,76.9,11.69
10282,Manhattan,177847,5847,15,10,66.7,11.67
10028,Manhattan,819923,48116,209,176,84.2,11.62
11225,Brooklyn,2265820,58786,156,122,78.2,11.55
11415,Queens,1450699,20241,37,32,86.5,11.49
11217,Brooklyn,1908694,42417,295,226,76.6,11.31
11201,Brooklyn,3506670,69703,462,372,80.5,11.17
10006,Manhattan,250630,4282,49,42,85.7,11.16
10473,Bronx,5537168,62692,29,24,82.8,11.14
10471,Bronx,4436899,25121,50,38,76.0,11.10
11366,Queens,3946393,14430,55,44,80.0,11.05
10168,Manhattan,13211,0,2,2,100.0,11.00
10169,Manhattan,5396,0,16,14,87.5,10.69
10460,Bronx,3881496,62625,60,54,90.0,10.57
10007,Manhattan,414129,8421,147,112,76.2,10.12
11369,Queens,2807334,40805,76,66,86.8,10.05
10177,Manhattan,5421,0,1,1,100.0,10.00
10304,0,9041054,46944,1,1,100.0,10.00
10171,Manhattan,12470,17,2,2,100.0,10.00
10172,Manhattan,12415,0,4,4,100.0,9.50
10103,Manhattan,24776,10,4,4,100.0,9.25
11430,Queens,18446520,571,111,103,92.8,9.06
10020,Manhattan,46754,0,46,40,87.0,8.76
10167,Manhattan,12396,0,4,4,100.0,8.50
10115,Manhattan,6618,0,1,1,100.0,8.00
11371,Queens,2837110,0,22,21,95.5,7.55
10271,Manhattan,6779,0,4,4,100.0,7.50
10075,0,489565,27796,1,1,100.0,7.00
11371,Manhattan,2837110,0,2,2,100.0,7.00
10312,0,17797576,61642,2,2,100.0,7.00
10165,Manhattan,13058,20,2,1,50.0,6.00
10154,Manhattan,12382,0,3,3,100.0,6.00
10153,Manhattan,12281,0,4,4,100.0,5.25
10173,Manhattan,12297,2,1,1,100.0,2.00
10301,0,9732406,41474,1,1,100.0,2.00
11451,,185278,1,,,,
10278,,35671,6,,,,
10199,,65414,71,,,,
10174,,13224,17,,,,
10170,,24921,40,,,,
10162,,33146,1814,,,,
11424,,49079,0,,,,
10110,,26711,14,,,,
10311,,121555,0,,,,
11359,,648383,0,,,,
11439,,385423,2376,,,,
